fila,etiqueta_real
1,Bot
2,BENIGN
3,BENIGN
4,BENIGN
5,BENIGN
6,DoS slowloris
7,BENIGN
8,BENIGN
9,DoS Hulk
10,BENIGN
11,BENIGN
12,BENIGN
13,DDoS
14,BENIGN
15,BENIGN
16,DoS GoldenEye
17,SSH-Patator
18,BENIGN
19,BENIGN
20,Web Attack - XSS
21,BENIGN
22,BENIGN
23,Web Attack - Sql Injection
24,BENIGN
25,BENIGN
26,BENIGN
27,PortScan
28,Web Attack - Brute Force
29,BENIGN
30,BENIGN
31,DoS Slowhttptest
32,BENIGN
33,BENIGN
34,BENIGN
35,DoS Hulk
36,BENIGN
37,BENIGN
38,BENIGN
39,DoS Slowhttptest
40,BENIGN
41,BENIGN
42,DoS Slowhttptest
43,BENIGN
44,DoS Hulk
45,BENIGN
46,BENIGN
47,DoS Hulk
48,BENIGN
49,BENIGN
50,DDoS
51,BENIGN
52,SSH-Patator
53,PortScan
54,BENIGN
55,BENIGN
56,DDoS
57,DoS GoldenEye
58,Web Attack - Sql Injection
59,DoS slowloris
60,BENIGN
61,FTP-Patator
62,BENIGN
63,SSH-Patator
64,BENIGN
65,BENIGN
66,BENIGN
67,DDoS
68,BENIGN
69,Bot
70,BENIGN
71,Web Attack - XSS
72,BENIGN
73,BENIGN
74,BENIGN
75,Web Attack - XSS
76,BENIGN
77,BENIGN
78,BENIGN
79,BENIGN
80,Bot
81,DoS Hulk
82,Web Attack - Brute Force
83,BENIGN
84,Web Attack - Brute Force
85,DoS Hulk
86,BENIGN
87,DDoS
88,DoS slowloris
89,BENIGN
90,BENIGN
91,DDoS
92,BENIGN
93,BENIGN
94,DoS Slowhttptest
95,BENIGN
96,BENIGN
97,PortScan
98,BENIGN
99,DoS Hulk
100,DoS Hulk
101,BENIGN
102,BENIGN
103,BENIGN
104,Web Attack - Brute Force
105,BENIGN
106,SSH-Patator
107,FTP-Patator
108,PortScan
109,BENIGN
110,BENIGN
111,BENIGN
112,DoS Slowhttptest
113,BENIGN
114,BENIGN
115,DoS GoldenEye
116,BENIGN
117,BENIGN
118,Web Attack - Brute Force
119,BENIGN
120,DoS Hulk
121,FTP-Patator
122,DoS GoldenEye
123,DoS Hulk
124,BENIGN
125,DoS Hulk
126,BENIGN
127,BENIGN
128,BENIGN
129,DoS Hulk
130,BENIGN
131,DoS GoldenEye
132,BENIGN
133,BENIGN
134,BENIGN
135,BENIGN
136,BENIGN
137,BENIGN
138,DoS GoldenEye
139,Bot
140,BENIGN
141,BENIGN
142,Bot
143,BENIGN
144,BENIGN
145,Web Attack - Brute Force
146,BENIGN
147,BENIGN
148,BENIGN
149,BENIGN
150,BENIGN
151,Bot
152,DDoS
153,BENIGN
154,PortScan
155,PortScan
156,BENIGN
157,BENIGN
158,DoS Hulk
159,BENIGN
160,BENIGN
161,BENIGN
162,BENIGN
163,BENIGN
164,BENIGN
165,SSH-Patator
166,BENIGN
167,BENIGN
168,BENIGN
169,Bot
170,BENIGN
171,BENIGN
172,BENIGN
173,BENIGN
174,BENIGN
175,DDoS
176,PortScan
177,DoS Hulk
178,BENIGN
179,BENIGN
180,DoS Slowhttptest
181,BENIGN
182,DDoS
183,BENIGN
184,BENIGN
185,BENIGN
186,PortScan
187,DDoS
188,DDoS
189,BENIGN
190,Bot
191,BENIGN
192,BENIGN
193,BENIGN
194,DDoS
195,PortScan
196,BENIGN
197,Infiltration
198,BENIGN
199,BENIGN
200,BENIGN
201,BENIGN
202,BENIGN
203,DoS Hulk
204,BENIGN
205,BENIGN
206,BENIGN
207,BENIGN
208,BENIGN
209,BENIGN
210,DDoS
211,PortScan
212,DoS Hulk
213,BENIGN
214,BENIGN
215,PortScan
216,DoS Slowhttptest
217,BENIGN
218,BENIGN
219,BENIGN
220,SSH-Patator
221,BENIGN
222,BENIGN
223,DoS Hulk
224,BENIGN
225,BENIGN
226,Bot
227,DoS slowloris
228,BENIGN
229,FTP-Patator
230,PortScan
231,PortScan
232,BENIGN
233,BENIGN
234,BENIGN
235,PortScan
236,BENIGN
237,DoS GoldenEye
238,BENIGN
239,FTP-Patator
240,BENIGN
241,BENIGN
242,BENIGN
243,Web Attack - XSS
244,BENIGN
245,Bot
246,DoS GoldenEye
247,DDoS
248,BENIGN
249,BENIGN
250,Web Attack - Brute Force
251,BENIGN
252,BENIGN
253,BENIGN
254,BENIGN
255,BENIGN
256,FTP-Patator
257,PortScan
258,BENIGN
259,DoS Hulk
260,BENIGN
261,BENIGN
262,DDoS
263,BENIGN
264,BENIGN
265,BENIGN
266,BENIGN
267,BENIGN
268,DDoS
269,BENIGN
270,BENIGN
271,BENIGN
272,BENIGN
273,DoS Hulk
274,BENIGN
275,DoS GoldenEye
276,BENIGN
277,PortScan
278,DoS Hulk
279,BENIGN
280,DoS Hulk
281,BENIGN
282,FTP-Patator
283,BENIGN
284,BENIGN
285,FTP-Patator
286,PortScan
287,PortScan
288,PortScan
289,BENIGN
290,DDoS
291,Bot
292,DDoS
293,DoS slowloris
294,BENIGN
295,BENIGN
296,SSH-Patator
297,DoS Hulk
298,DoS Hulk
299,Web Attack - Brute Force
300,DDoS
301,BENIGN
302,DoS Hulk
303,BENIGN
304,BENIGN
305,BENIGN
306,BENIGN
307,BENIGN
308,BENIGN
309,BENIGN
310,Infiltration
311,BENIGN
312,DoS GoldenEye
313,DoS Hulk
314,BENIGN
315,BENIGN
316,DoS GoldenEye
317,BENIGN
318,DDoS
319,DoS Hulk
320,BENIGN
321,DDoS
322,BENIGN
323,Bot
324,BENIGN
325,BENIGN
326,BENIGN
327,BENIGN
328,BENIGN
329,PortScan
330,BENIGN
331,BENIGN
332,BENIGN
333,BENIGN
334,BENIGN
335,BENIGN
336,PortScan
337,DDoS
338,BENIGN
339,BENIGN
340,BENIGN
341,BENIGN
342,PortScan
343,PortScan
344,BENIGN
345,BENIGN
346,DoS slowloris
347,PortScan
348,BENIGN
349,BENIGN
350,BENIGN
351,DoS GoldenEye
352,BENIGN
353,BENIGN
354,SSH-Patator
355,BENIGN
356,BENIGN
357,DoS slowloris
358,BENIGN
359,BENIGN
360,BENIGN
361,BENIGN
362,BENIGN
363,BENIGN
364,BENIGN
365,BENIGN
366,BENIGN
367,DoS Hulk
368,BENIGN
369,SSH-Patator
370,BENIGN
371,PortScan
372,BENIGN
373,BENIGN
374,BENIGN
375,BENIGN
376,FTP-Patator
377,BENIGN
378,BENIGN
379,BENIGN
380,BENIGN
381,Web Attack - Brute Force
382,BENIGN
383,DoS Hulk
384,Bot
385,BENIGN
386,DoS Hulk
387,BENIGN
388,BENIGN
389,BENIGN
390,PortScan
391,Web Attack - Brute Force
392,DoS GoldenEye
393,BENIGN
394,BENIGN
395,DoS slowloris
396,DoS slowloris
397,DoS Hulk
398,BENIGN
399,BENIGN
400,BENIGN
401,BENIGN
402,Bot
403,BENIGN
404,Web Attack - XSS
405,Bot
406,DoS Hulk
407,DDoS
408,BENIGN
409,BENIGN
410,BENIGN
411,BENIGN
412,BENIGN
413,DoS GoldenEye
414,BENIGN
415,DoS Hulk
416,BENIGN
417,BENIGN
418,BENIGN
419,PortScan
420,BENIGN
421,DoS Slowhttptest
422,Web Attack - Brute Force
423,BENIGN
424,FTP-Patator
425,BENIGN
426,BENIGN
427,BENIGN
428,BENIGN
429,DoS slowloris
430,DDoS
431,BENIGN
432,DoS Hulk
433,Bot
434,BENIGN
435,DDoS
436,BENIGN
437,BENIGN
438,BENIGN
439,DoS Hulk
440,BENIGN
441,PortScan
442,BENIGN
443,BENIGN
444,DoS Hulk
445,Web Attack - XSS
446,BENIGN
447,DoS Hulk
448,Web Attack - Brute Force
449,DoS Hulk
450,BENIGN
451,BENIGN
452,DDoS
453,BENIGN
454,Bot
455,BENIGN
456,SSH-Patator
457,BENIGN
458,Infiltration
459,BENIGN
460,BENIGN
461,BENIGN
462,BENIGN
463,DDoS
464,BENIGN
465,BENIGN
466,BENIGN
467,DoS Hulk
468,Bot
469,BENIGN
470,BENIGN
471,DoS Slowhttptest
472,BENIGN
473,PortScan
474,BENIGN
475,DoS GoldenEye
476,DDoS
477,BENIGN
478,DoS Hulk
479,BENIGN
480,BENIGN
481,BENIGN
482,DDoS
483,BENIGN
484,PortScan
485,BENIGN
486,Bot
487,DoS Hulk
488,BENIGN
489,Bot
490,BENIGN
491,Heartbleed
492,BENIGN
493,BENIGN
494,BENIGN
495,BENIGN
496,BENIGN
497,DDoS
498,DoS Slowhttptest
499,BENIGN
