fila,etiqueta_real
1,BENIGN
2,BENIGN
3,BENIGN
4,BENIGN
5,BENIGN
6,BENIGN
7,BENIGN
8,BENIGN
9,BENIGN
10,BENIGN
11,BENIGN
12,BENIGN
13,BENIGN
14,BENIGN
15,BENIGN
16,BENIGN
17,SSH-Patator
18,BENIGN
19,BENIGN
20,BENIGN
21,DDoS
22,DDoS
23,BENIGN
24,BENIGN
25,BENIGN
26,BENIGN
27,Bot
28,BENIGN
29,BENIGN
30,BENIGN
31,DoS Hulk
32,BENIGN
33,BENIGN
34,BENIGN
35,BENIGN
36,BENIGN
37,BENIGN
38,BENIGN
39,BENIGN
40,BENIGN
41,BENIGN
42,BENIGN
43,PortScan
44,BENIGN
45,BENIGN
46,BENIGN
47,BENIGN
48,BENIGN
49,BENIGN
50,BENIGN
51,BENIGN
52,BENIGN
53,BENIGN
54,BENIGN
55,BENIGN
56,BENIGN
57,BENIGN
58,BENIGN
59,BENIGN
60,BENIGN
61,FTP-Patator
62,BENIGN
63,BENIGN
64,PortScan
65,BENIGN
66,BENIGN
67,BENIGN
68,BENIGN
69,BENIGN
70,BENIGN
71,BENIGN
72,BENIGN
73,BENIGN
74,BENIGN
75,BENIGN
76,BENIGN
77,BENIGN
78,BENIGN
79,BENIGN
80,BENIGN
81,BENIGN
82,BENIGN
83,DoS Hulk
84,BENIGN
85,BENIGN
86,BENIGN
87,BENIGN
88,BENIGN
89,BENIGN
90,BENIGN
91,BENIGN
92,BENIGN
93,BENIGN
94,BENIGN
95,BENIGN
96,BENIGN
97,BENIGN
98,BENIGN
99,BENIGN
100,BENIGN
101,BENIGN
102,BENIGN
103,BENIGN
104,BENIGN
105,BENIGN
106,BENIGN
107,BENIGN
108,BENIGN
109,BENIGN
110,BENIGN
111,BENIGN
112,BENIGN
113,BENIGN
114,BENIGN
115,BENIGN
116,BENIGN
117,BENIGN
118,BENIGN
119,BENIGN
120,BENIGN
121,BENIGN
122,BENIGN
123,BENIGN
124,BENIGN
125,BENIGN
126,BENIGN
127,BENIGN
128,BENIGN
129,BENIGN
130,BENIGN
131,BENIGN
132,BENIGN
133,BENIGN
134,BENIGN
135,BENIGN
136,BENIGN
137,BENIGN
138,BENIGN
139,BENIGN
140,BENIGN
141,BENIGN
142,BENIGN
143,DoS Hulk
144,BENIGN
145,BENIGN
146,BENIGN
147,BENIGN
148,BENIGN
149,BENIGN
150,BENIGN
151,BENIGN
152,BENIGN
153,BENIGN
154,BENIGN
155,BENIGN
156,BENIGN
157,BENIGN
158,BENIGN
159,BENIGN
160,BENIGN
161,BENIGN
162,BENIGN
163,BENIGN
164,BENIGN
165,BENIGN
166,BENIGN
167,BENIGN
168,BENIGN
169,BENIGN
170,BENIGN
171,BENIGN
172,BENIGN
173,DDoS
174,BENIGN
175,BENIGN
176,BENIGN
177,BENIGN
178,BENIGN
179,BENIGN
180,BENIGN
181,BENIGN
182,BENIGN
183,BENIGN
184,BENIGN
185,BENIGN
186,BENIGN
187,BENIGN
188,BENIGN
189,BENIGN
190,BENIGN
191,DoS GoldenEye
192,BENIGN
193,BENIGN
194,BENIGN
195,BENIGN
196,BENIGN
197,BENIGN
198,BENIGN
199,BENIGN
200,BENIGN
201,BENIGN
202,BENIGN
203,BENIGN
204,BENIGN
205,BENIGN
206,BENIGN
207,BENIGN
208,BENIGN
209,DoS Hulk
210,BENIGN
211,BENIGN
212,BENIGN
213,BENIGN
214,BENIGN
215,BENIGN
216,BENIGN
217,BENIGN
218,BENIGN
219,BENIGN
220,BENIGN
221,BENIGN
222,BENIGN
223,BENIGN
224,BENIGN
225,BENIGN
226,BENIGN
227,BENIGN
228,BENIGN
229,BENIGN
230,BENIGN
231,BENIGN
232,BENIGN
233,BENIGN
234,BENIGN
235,BENIGN
236,BENIGN
237,BENIGN
238,BENIGN
239,BENIGN
240,BENIGN
241,BENIGN
242,BENIGN
243,BENIGN
244,BENIGN
245,BENIGN
246,BENIGN
247,BENIGN
248,BENIGN
249,BENIGN
250,BENIGN
251,BENIGN
252,BENIGN
253,BENIGN
254,BENIGN
255,BENIGN
256,BENIGN
257,BENIGN
258,BENIGN
259,BENIGN
260,BENIGN
261,BENIGN
262,BENIGN
263,BENIGN
264,BENIGN
265,BENIGN
266,BENIGN
267,BENIGN
268,BENIGN
269,BENIGN
270,BENIGN
271,BENIGN
272,BENIGN
273,BENIGN
274,BENIGN
275,BENIGN
276,BENIGN
277,BENIGN
278,BENIGN
279,BENIGN
280,BENIGN
281,BENIGN
282,BENIGN
283,BENIGN
284,BENIGN
285,BENIGN
286,BENIGN
287,BENIGN
288,BENIGN
289,BENIGN
290,BENIGN
291,BENIGN
292,BENIGN
293,BENIGN
294,BENIGN
295,BENIGN
296,BENIGN
297,BENIGN
298,BENIGN
299,PortScan
300,DoS Hulk
301,BENIGN
302,BENIGN
303,BENIGN
304,BENIGN
305,BENIGN
306,BENIGN
307,BENIGN
308,BENIGN
309,BENIGN
310,BENIGN
311,BENIGN
312,BENIGN
313,BENIGN
314,BENIGN
315,BENIGN
316,BENIGN
317,BENIGN
318,BENIGN
319,BENIGN
320,BENIGN
321,BENIGN
322,BENIGN
323,BENIGN
324,BENIGN
325,BENIGN
326,BENIGN
327,BENIGN
328,BENIGN
329,BENIGN
330,BENIGN
331,BENIGN
332,BENIGN
333,BENIGN
334,BENIGN
335,BENIGN
336,BENIGN
337,BENIGN
338,BENIGN
339,BENIGN
340,BENIGN
341,BENIGN
342,BENIGN
343,PortScan
344,BENIGN
345,BENIGN
346,BENIGN
347,Web Attack - Brute Force
348,BENIGN
349,BENIGN
350,BENIGN
351,BENIGN
352,BENIGN
353,BENIGN
354,BENIGN
355,BENIGN
356,BENIGN
357,BENIGN
358,BENIGN
359,BENIGN
360,BENIGN
361,BENIGN
362,BENIGN
363,BENIGN
364,BENIGN
365,BENIGN
366,BENIGN
367,BENIGN
368,BENIGN
369,BENIGN
370,BENIGN
371,BENIGN
372,BENIGN
373,BENIGN
374,BENIGN
375,BENIGN
376,BENIGN
377,BENIGN
378,BENIGN
379,BENIGN
380,BENIGN
381,BENIGN
382,DoS Hulk
383,BENIGN
384,BENIGN
385,BENIGN
386,BENIGN
387,BENIGN
388,BENIGN
389,BENIGN
390,BENIGN
391,BENIGN
392,BENIGN
393,BENIGN
394,BENIGN
395,BENIGN
396,BENIGN
397,BENIGN
398,BENIGN
399,BENIGN
400,BENIGN
401,BENIGN
402,BENIGN
403,BENIGN
404,BENIGN
405,DDoS
406,PortScan
407,BENIGN
408,BENIGN
409,BENIGN
410,BENIGN
411,BENIGN
412,BENIGN
413,BENIGN
414,BENIGN
415,BENIGN
416,BENIGN
417,BENIGN
418,BENIGN
419,BENIGN
420,BENIGN
421,BENIGN
422,BENIGN
423,DoS Hulk
424,BENIGN
425,BENIGN
426,BENIGN
427,BENIGN
428,BENIGN
429,BENIGN
430,BENIGN
431,BENIGN
432,BENIGN
433,BENIGN
434,BENIGN
435,BENIGN
436,BENIGN
437,BENIGN
438,BENIGN
439,BENIGN
440,BENIGN
441,BENIGN
442,BENIGN
443,BENIGN
444,BENIGN
445,BENIGN
446,DoS GoldenEye
447,BENIGN
448,BENIGN
449,DoS Hulk
450,BENIGN
451,BENIGN
452,BENIGN
453,BENIGN
454,BENIGN
455,BENIGN
456,BENIGN
457,BENIGN
458,BENIGN
459,DoS slowloris
460,BENIGN
461,BENIGN
462,BENIGN
463,BENIGN
464,BENIGN
465,BENIGN
466,BENIGN
467,BENIGN
468,BENIGN
469,BENIGN
470,BENIGN
471,BENIGN
472,BENIGN
473,BENIGN
474,BENIGN
475,BENIGN
476,BENIGN
477,BENIGN
478,BENIGN
479,BENIGN
480,BENIGN
481,BENIGN
482,BENIGN
483,BENIGN
484,BENIGN
485,BENIGN
486,BENIGN
487,BENIGN
488,BENIGN
489,BENIGN
490,BENIGN
491,BENIGN
492,Infiltration
493,BENIGN
494,BENIGN
495,BENIGN
496,BENIGN
497,BENIGN
498,BENIGN
499,BENIGN
500,BENIGN
