 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
8080,1029619,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,17.482195,5.8273983,205923.8,281238.8,515229,395,1028970,514485.0,1610.7893,515624,513346,1029052,514526.0,1912.0167,515878,513174,0,0,0,0,92,60,2.9136992,2.9136992,0,6,2.5714285,3.207135,10.285714,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0
53,259,2,2,84,208,42,42,42.0,0.0,104,104,104.0,0.0,1.1274131e+06,15444.016,86.333336,66.40281,163,47,47,47.0,0.0,47,47,49,49.0,0.0,49,49,0,0,0,0,40,40,7722.008,7722.008,42,104,66.8,33.958797,1153.2,0,0,0,0,0,0,0,0,1,83.5,42.0,104.0,40,0,0,0,0,0,0,2,84,2,208,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
443,19489533,8,9,742,3755,401,0,92.75,143.66702,1780,0,417.22223,693.3458,230.73924,0.8722631,1.2180959e+06,3.2125052e+06,10000000,60,10500000,1.498238e+06,3.7506952e+06,10000000,386,19300000,2.417893e+06,4.3865995e+06,10100000,185,0,0,0,0,172,204,0.41047674,0.46178633,0,1780,249.83333,514.62714,264841.1,0,0,0,1,0,0,0,0,1,264.52942,92.75,417.22223,172,0,0,0,0,0,0,8,742,9,3755,8192,62,7,20,315840.5,239318.17,485064,146617,9.428806e+06,811469.4,10000000,8855011
53,83889,2,2,80,226,40,40,40.0,0.0,113,113,113.0,0.0,3647.6772,47.682056,27963.0,48427.273,83882,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,40,23.841028,23.841028,40,113,69.2,39.983746,1598.7,0,0,0,0,0,0,0,0,1,86.5,40.0,113.0,64,0,0,0,0,0,0,2,80,2,226,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
57102,53,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37735.848,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18867.924,18867.924,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,349,252,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5001683,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.79973084,1.6672276e+06,2.8868742e+06,5000703,137,5001683,2.5008415e+06,3.535338e+06,5000703,980,0,0.0,0.0,0,0,0,0,0,0,104,40,0.5997981,0.19993271,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,293,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,1.105802e+06,13651.877,97.666664,164.84033,288,1,4,4.0,0.0,4,4,1,1.0,0.0,1,1,0,0,0,0,40,40,6825.9385,6825.9385,30,132,70.8,55.867702,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,40,0,0,0,0,0,0,2,60,2,264,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
53,61019,4,2,148,270,37,37,37.0,0.0,135,135,135.0,0.0,6850.325,98.330025,12203.8,16705.266,30513,4,30521,10173.667,17614.379,30513,4,4,4.0,0.0,4,4,0,0,0,0,104,64,65.55335,32.776676,37,135,65.0,47.819103,2286.6667,0,0,0,0,0,0,0,0,0,75.833336,37.0,135.0,104,0,0,0,0,0,0,4,148,2,270,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
80,98452911,6,8,312,11595,294,0,52.0,118.591736,7240,0,1449.375,2446.64,120.94106,0.14219996,7.573301e+06,2.73e+07,98400000,1,98400000,1.97e+07,4.4e+07,98400000,1,98500000,1.41e+07,3.72e+07,98400000,69,0,0,0,0,164,264,0.06094284,0.08125712,0,7240,794.2,1877.177,3.5237935e+06,1,0,0,0,0,0,0,0,1,850.9286,52.0,1449.375,164,0,0,0,0,0,0,6,312,8,11595,0,235,3,20,8959.0,0.0,8959,8959,9.84e+07,0.0,98400000,98400000
53,67584,2,2,62,318,31,31,31.0,0.0,159,159,159.0,0.0,5622.633,59.185608,22528.0,39013.58,67577,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,29.592804,29.592804,31,159,82.2,70.10849,4915.2,0,0,0,0,0,0,0,0,1,102.75,31.0,159.0,40,0,0,0,0,0,0,2,62,2,318,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
