 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
443,101264207,13,7,1184,3823,693,0,91.07692,196.70216,1400,0,546.1429,667.8726,49.444916,0.19750315,5.329695e+06,2.3136576e+07,100871704,1,101264207,8.438684e+06,2.9108884e+07,100871704,1,357143,59523.832,72766.11,197300,2,0,0,0,0,428,232,0.12837705,0.0691261,0,1400,238.42857,455.1127,207127.56,0,0,0,1,0,0,0,0,0,250.35,91.07692,546.1429,428,0,0,0,0,0,0,13,1184,7,3823,65535,13860,6,32,392424.0,0.0,392424,392424,1.00871704e+08,0.0,100871704,100871704
53,259,2,2,84,208,42,42,42.0,0.0,104,104,104.0,0.0,1.1274131e+06,15444.016,86.333336,66.40281,163,47,47,47.0,0.0,47,47,49,49.0,0.0,49,49,0,0,0,0,40,40,7722.008,7722.008,42,104,66.8,33.958797,1153.2,0,0,0,0,0,0,0,0,1,83.5,42.0,104.0,40,0,0,0,0,0,0,2,84,2,208,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
51923,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.7,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.7,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,4171,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,293,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,1.105802e+06,13651.877,97.666664,164.84033,288,1,4,4.0,0.0,4,4,1,1.0,0.0,1,1,0,0,0,0,40,40,6825.9385,6825.9385,30,132,70.8,55.867702,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,40,0,0,0,0,0,0,2,60,2,264,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
53,168,2,2,90,122,45,45,45.0,0.0,61,61,61.0,0.0,1.2619048e+06,23809.523,56.0,90.934044,161,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,11904.762,11904.762,45,61,51.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,64.25,45.0,61.0,64,0,0,0,0,0,0,2,90,2,122,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
443,315790,7,8,3494,3493,3125,0,499.14285,1161.157,1481,0,436.625,646.3062,22125.463,47.49992,22556.428,37243.184,90620,3,194398,32399.666,47874.586,97677,197,225363,32194.715,42503.76,96442,3,0,0,0,0,232,264,22.16663,25.333292,0,3125,436.6875,865.32056,748779.7,0,0,0,1,0,0,0,0,1,465.8,499.14285,436.625,232,0,0,0,0,0,0,7,3494,8,3493,29200,50,3,32,0.0,0.0,0,0,0.0,0.0,0,0
443,118397719,18,20,1137,6862,362,0,63.166668,94.578476,1430,0,343.1,545.6949,67.560425,0.32095212,3.1999382e+06,1.34e+07,58900000,1,118000000,6.9645715e+06,1.94e+07,58900000,49,118000000,6.226548e+06,1.84e+07,59000000,1,0,0,0,0,372,412,0.15202996,0.16892217,0,1430,205.10257,416.61227,173565.78,0,0,0,1,0,0,0,0,1,210.5,63.166668,343.1,372,0,0,0,0,0,0,18,1137,20,6862,8192,360,10,20,667448.0,819142.2,1246669,88227,5.85e+07,639056.25,58900000,58000000
53,60657,4,2,132,256,33,33,33.0,0.0,128,128,128.0,0.0,6396.6235,98.91686,12131.4,20551.145,47444,3,47450,15816.667,27390.074,47444,3,4,4.0,0.0,4,4,0,0,0,0,80,40,65.94457,32.972286,33,128,60.142857,46.355255,2148.8096,0,0,0,0,0,0,0,0,0,70.166664,33.0,128.0,80,0,0,0,0,0,0,4,132,2,256,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
53,31033,2,2,72,328,36,36,36.0,0.0,164,164,164.0,0.0,12889.505,128.89505,10344.333,17872.758,30982,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,64.447525,64.447525,36,164,87.2,70.10849,4915.2,0,0,0,0,0,0,0,0,1,109.0,36.0,164.0,64,0,0,0,0,0,0,2,72,2,328,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
416,92,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,173913.05,43478.26,30.666666,47.92007,86,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,48,40,21739.13,21739.13,2,6,3.6,2.1908903,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0
53,67584,2,2,62,318,31,31,31.0,0.0,159,159,159.0,0.0,5622.633,59.185608,22528.0,39013.58,67577,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,29.592804,29.592804,31,159,82.2,70.10849,4915.2,0,0,0,0,0,0,0,0,1,102.75,31.0,159.0,40,0,0,0,0,0,0,2,62,2,318,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
53,256,2,2,68,326,34,34,34.0,0.0,163,163,163.0,0.0,1.5390625e+06,15625.0,85.333336,105.09678,204,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,40,40,7812.5,7812.5,34,163,85.6,70.65621,4992.3,0,0,0,0,0,0,0,0,1,107.0,34.0,163.0,40,0,0,0,0,0,0,2,68,2,326,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
52675,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4e+06,666666.7,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.7,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,382,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,116039234,16,14,467,717,456,0,29.1875,113.81753,717,0,51.214287,191.62631,10.203445,0.25853324,4.001353e+06,4.8554885e+06,10000000,84,116000000,7.735949e+06,4.117185e+06,10100000,412,111000000,8.507608e+06,3.7643812e+06,10100000,741,0,0,0,0,332,284,0.1378844,0.120648846,0,717,38.19355,150.2015,22560.494,0,0,0,1,0,0,0,0,0,39.466667,29.1875,51.214287,332,0,0,0,0,0,0,16,467,14,717,8192,30016,12,20,76103.91,86743.75,337636,47695,9.978361e+06,71618.69,10000000,9762518
38776,62,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,32258.064,62.0,0.0,62,62,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16129.032,16129.032,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,114,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5975109,3,1,12,0,6,0,4.0,3.4641016,0,0,0.0,0.0,2.0083315,0.66944385,1.991703e+06,3.4295245e+06,5951754,53,5975109,2.9875545e+06,4.1920112e+06,5951754,23355,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5020829,0.16736096,0,6,2.4,3.2863352,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0
22,11996595,21,32,2008,2745,640,0,95.61905,140.04517,976,0,85.78125,220.24059,396.19574,4.41792,230703.75,630493.44,2567650,3,10300000,514527.25,920181.44,2642171,553,12000000,386983.03,783190.75,2567650,3,0,0,0,0,680,1032,1.7504967,2.6674235,0,976,88.01852,189.59027,35944.473,0,0,0,1,0,0,0,0,1,89.679245,95.61905,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0
50855,185,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,16216.216,92.5,125.1579,181,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,32,10810.811,5405.4053,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,357,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0
