contexto,modelo,clase,parametro,valor,valor_por_defecto,escrito_en_codigo,coincide_con_default,origen,criterio_anterior,archivos_fuente
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,categorical_features,'from_dtype','from_dtype',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,class_weight,'balanced',None,True,False,explícito,explícito,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,early_stopping,'auto','auto',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,interaction_cst,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,l2_regularization,0.0,0.0,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,learning_rate,0.1,0.1,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,loss,'log_loss','log_loss',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,max_bins,255,255,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,max_depth,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,max_features,1.0,1.0,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,max_iter,200,100,True,False,explícito,explícito,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,max_leaf_nodes,31,31,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,min_samples_leaf,20,20,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,monotonic_cst,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,n_iter_no_change,10,10,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,random_state,42,None,True,False,explícito,explícito,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,scoring,'loss','loss',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,tol,1e-07,1e-07,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,validation_fraction,0.1,0.1,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,verbose,0,0,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_multiclase.joblib,Clasificador multiclase,HistGradientBoostingClassifier,warm_start,False,False,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,categorical_features,'from_dtype','from_dtype',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,class_weight,'balanced',None,True,False,explícito,explícito,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,early_stopping,'auto','auto',False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,interaction_cst,None,None,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
models/modelo_binario.joblib,Clasificador binario,HistGradientBoostingClassifier,l2_regularization,0.0,0.0,False,True,por defecto,por defecto,src/modelo_final.py; src/experimentos.py; src/interpretabilidad.py; src/evaluacion_final.py
