modelo,tecnica,clase,media,desv
Regresión logística,Sin corrección,BENIGN,0.9993511306161638,2.5843851793167057e-05
Regresión logística,Sin corrección,Bot,0.22066702107131028,0.01986615311130552
Regresión logística,Sin corrección,DDoS,0.9959989196501144,0.0006605307096182897
Regresión logística,Sin corrección,DoS GoldenEye,0.9119055295518029,0.0044605308582160086
Regresión logística,Sin corrección,DoS Hulk,0.9959828211594722,0.00047069685754670595
Regresión logística,Sin corrección,DoS Slowhttptest,0.8496173726344205,0.01825157258988554
Regresión logística,Sin corrección,DoS slowloris,0.9122991413589879,0.008182086775511422
Regresión logística,Sin corrección,FTP-Patator,0.9510993609116285,0.009943490674043105
Regresión logística,Sin corrección,PortScan,0.9302111938185392,0.009347138008009931
Regresión logística,Sin corrección,SSH-Patator,0.8019290197190129,0.01551320890025398
Regresión logística,Sin corrección,Web Attack,0.2982992789246285,0.06630735709798595
Regresión logística,Pesos de clase,BENIGN,0.9977791801958709,3.246833294983707e-05
Regresión logística,Pesos de clase,Bot,0.1288395826459561,0.01813213942651777
Regresión logística,Pesos de clase,DDoS,0.9976048281708476,0.0004412422231161304
Regresión logística,Pesos de clase,DoS GoldenEye,0.8735679376180567,0.021631854945487753
Regresión logística,Pesos de clase,DoS Hulk,0.994343200178546,0.00020448278058579565
Regresión logística,Pesos de clase,DoS Slowhttptest,0.6462247652284577,0.026496812115496517
Regresión logística,Pesos de clase,DoS slowloris,0.8749201690852507,0.01393452313277006
Regresión logística,Pesos de clase,FTP-Patator,0.9001407286163916,0.039159484524285804
Regresión logística,Pesos de clase,PortScan,0.8259729034223842,0.006645545669284146
Regresión logística,Pesos de clase,SSH-Patator,0.6233417759762419,0.029899618211441426
Regresión logística,Pesos de clase,Web Attack,0.11693328340541458,0.021705024954307206
Regresión logística,SMOTE,BENIGN,0.9993587700124161,4.434113085425175e-05
Regresión logística,SMOTE,Bot,0.24729008349513118,0.016538441829820567
Regresión logística,SMOTE,DDoS,0.9963444779656255,0.0005693309663604742
