,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,PortScan,SSH-Patator,Web Attack
BENIGN,1655494,836,8,129,197,151,124,23,792,7,108
Bot,29,1529,0,0,0,0,0,0,0,0,0
DDoS,57,0,102350,3,0,0,1,0,0,0,0
DoS GoldenEye,27,0,0,8086,13,18,5,0,0,0,80
DoS Hulk,176,0,0,39,138048,1,4,0,3,0,6
DoS Slowhttptest,19,0,0,5,0,4135,17,0,0,0,6
DoS slowloris,25,0,0,1,0,7,4268,0,2,0,5
FTP-Patator,1,0,0,0,0,0,0,4743,0,0,1
PortScan,14,0,0,0,28,1,0,1,72494,2,15
SSH-Patator,5,0,0,0,0,0,0,0,0,2570,0
Web Attack,20,0,0,4,1,12,1,0,4,0,1673
