,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,PortScan,SSH-Patator,Web Attack
BENIGN,1651292,1505,289,505,637,285,164,779,1174,59,1180
Bot,21,1537,0,0,0,0,0,0,0,0,0
DDoS,16,3,102275,84,16,0,11,0,0,2,4
DoS GoldenEye,10,0,3,8193,14,9,0,0,0,0,0
DoS Hulk,23,0,7,66,138079,58,2,18,12,10,2
DoS Slowhttptest,6,0,0,3,5,4125,22,4,13,0,4
DoS slowloris,19,0,0,1,7,9,4257,8,1,0,6
FTP-Patator,7,0,0,0,0,0,0,4737,0,0,1
PortScan,16,0,0,0,23,0,1,1,72500,4,10
SSH-Patator,0,0,0,0,0,0,1,0,1,2573,0
Web Attack,12,0,0,2,1,1,2,0,2,0,1695
