,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,PortScan,SSH-Patator,Web Attack
BENIGN,1623949,256,136,830,456,1008,380,1668,26245,361,2580
Bot,1013,545,0,0,0,0,0,0,0,0,0
DDoS,1483,2,100893,0,23,1,0,9,0,0,0
DoS GoldenEye,1098,0,0,7117,1,10,3,0,0,0,0
DoS Hulk,7526,0,161,14,130563,12,0,0,0,0,1
DoS Slowhttptest,133,0,0,1,1,4014,31,0,0,0,2
DoS slowloris,321,1,1,0,0,74,3910,0,0,0,1
FTP-Patator,56,0,0,0,4,0,0,4684,0,0,1
PortScan,490,13,0,1,24,0,3,50,71970,1,3
SSH-Patator,189,0,0,0,2,0,0,12,12,2359,1
Web Attack,188,0,0,4,0,0,0,0,1,1,1521
