modelo,tecnica,clase,media,desv
Regresión logística,Sin corrección,BENIGN,0.9891814617118838,0.0002902694214546159
Regresión logística,Sin corrección,Bot,0.7303030303030303,0.2837927728549506
Regresión logística,Sin corrección,DDoS,0.9964984194163449,0.00043675015107059263
Regresión logística,Sin corrección,DoS GoldenEye,0.9370465691331159,0.0063831890553960316
Regresión logística,Sin corrección,DoS Hulk,0.996172790314945,0.0003492529037367241
Regresión logística,Sin corrección,DoS Slowhttptest,0.8192391613799282,0.012023511493722727
Regresión logística,Sin corrección,DoS slowloris,0.9580598094293592,0.006352015934395122
Regresión logística,Sin corrección,FTP-Patator,0.9665706920746466,0.003940266292773788
Regresión logística,Sin corrección,PortScan,0.7211774437733306,0.004127202652276961
Regresión logística,Sin corrección,SSH-Patator,0.78711844832073,0.14824807507756646
Regresión logística,Sin corrección,Web Attack,0.225,0.26575364531836626
Regresión logística,Pesos de clase,BENIGN,0.9998396155855407,2.985658185695658e-05
Regresión logística,Pesos de clase,Bot,0.019605929384405037,0.000926691203019055
Regresión logística,Pesos de clase,DDoS,0.8811847566473132,0.004801879199318607
Regresión logística,Pesos de clase,DoS GoldenEye,0.4975563613489643,0.009968165510035524
Regresión logística,Pesos de clase,DoS Hulk,0.8315498682227981,0.0018744549365300796
Regresión logística,Pesos de clase,DoS Slowhttptest,0.3342781270506824,0.016204711092421917
Regresión logística,Pesos de clase,DoS slowloris,0.17808396280922437,0.002614903358098569
Regresión logística,Pesos de clase,FTP-Patator,0.48158269509961205,0.039654794817406504
Regresión logística,Pesos de clase,PortScan,0.697266553073446,0.004312716516774377
Regresión logística,Pesos de clase,SSH-Patator,0.0971369906307051,0.0020049329653919396
Regresión logística,Pesos de clase,Web Attack,0.03349246729181618,0.0006333632769726805
Regresión logística,SMOTE,BENIGN,0.9923633665808402,0.00014524481407007813
Regresión logística,SMOTE,Bot,0.668826097268233,0.03352399805199011
Regresión logística,SMOTE,DDoS,0.9970551866333517,0.00034229603235862654
Regresión logística,SMOTE,DoS GoldenEye,0.8934082237595012,0.01019969422003538
Regresión logística,SMOTE,DoS Hulk,0.996101581769795,0.00018572812390284325
Regresión logística,SMOTE,DoS Slowhttptest,0.7842414518113994,0.007873059660220184
Regresión logística,SMOTE,DoS slowloris,0.9036838322075893,0.005612307133565251
Regresión logística,SMOTE,FTP-Patator,0.729363304631291,0.010315434232329711
Regresión logística,SMOTE,PortScan,0.7327064777449097,0.004713949379439607
Regresión logística,SMOTE,SSH-Patator,0.8672443644376852,0.022870800338833146
Regresión logística,SMOTE,Web Attack,0.37935516976243633,0.06239214144837176
Regresión logística,Submuestreo + SMOTE,BENIGN,0.9985146030928298,9.279333363071613e-05
Regresión logística,Submuestreo + SMOTE,Bot,0.06272903073502638,0.0016109413549936882
Regresión logística,Submuestreo + SMOTE,DDoS,0.904620037103099,0.004132367505011789
Regresión logística,Submuestreo + SMOTE,DoS GoldenEye,0.7022015511332294,0.00781541239127331
Regresión logística,Submuestreo + SMOTE,DoS Hulk,0.8338361791225113,0.0018753996553445428
Regresión logística,Submuestreo + SMOTE,DoS Slowhttptest,0.6177741270147432,0.022569519128168843
Regresión logística,Submuestreo + SMOTE,DoS slowloris,0.4412702104649922,0.0033768425847807084
Regresión logística,Submuestreo + SMOTE,FTP-Patator,0.5223208492088546,0.01010965438714187
Regresión logística,Submuestreo + SMOTE,PortScan,0.7102256224078293,0.005591548876302843
Regresión logística,Submuestreo + SMOTE,SSH-Patator,0.31154245830846405,0.01198041741994
Regresión logística,Submuestreo + SMOTE,Web Attack,0.04682834677970923,0.0012249860998584054
Árboles (HistGB),Sin corrección,BENIGN,0.9993092512760011,0.0001506820580103582
Árboles (HistGB),Sin corrección,Bot,0.6431969700506991,0.1111395790765425
Árboles (HistGB),Sin corrección,DDoS,0.9999608701496934,4.092404934547242e-05
Árboles (HistGB),Sin corrección,DoS GoldenEye,0.9609986941696776,0.016750908188422436
Árboles (HistGB),Sin corrección,DoS Hulk,0.995823226138455,0.003130770225506683
Árboles (HistGB),Sin corrección,DoS Slowhttptest,0.9069950574202995,0.056704590399066224
Árboles (HistGB),Sin corrección,DoS slowloris,0.9451280353709782,0.014830468839459895
Árboles (HistGB),Sin corrección,FTP-Patator,0.9908171605276787,0.006670018851735899
Árboles (HistGB),Sin corrección,PortScan,0.9889031553272055,0.0007051671397115428
Árboles (HistGB),Sin corrección,SSH-Patator,0.9839352850955307,0.008361289787234496
Árboles (HistGB),Sin corrección,Web Attack,0.8871443671683383,0.029587045054279542
Árboles (HistGB),Pesos de clase,BENIGN,0.9999383621203581,1.3270514113507397e-05
Árboles (HistGB),Pesos de clase,Bot,0.614304058094939,0.03925378803284343
Árboles (HistGB),Pesos de clase,DDoS,0.9995119313109788,0.00016177826582603795
Árboles (HistGB),Pesos de clase,DoS GoldenEye,0.9816184480134975,0.004497198828374599
Árboles (HistGB),Pesos de clase,DoS Hulk,0.9922499610346669,0.00041022857951335246
Árboles (HistGB),Pesos de clase,DoS Slowhttptest,0.9774489045889403,0.005010604464141012
Árboles (HistGB),Pesos de clase,DoS slowloris,0.9757461698749014,0.009582726620885867
Árboles (HistGB),Pesos de clase,FTP-Patator,0.9993679773723032,0.0009423705156650818
Árboles (HistGB),Pesos de clase,PortScan,0.9889415043626799,0.0008574299223874499
Árboles (HistGB),Pesos de clase,SSH-Patator,0.9972928106525336,0.0022007846094019862
Árboles (HistGB),Pesos de clase,Web Attack,0.9519104895341517,0.017375162244559345
Árboles (HistGB),SMOTE,BENIGN,0.9997747435897277,6.031807828277451e-05
Árboles (HistGB),SMOTE,Bot,0.6468222113614827,0.016307764011942418
Árboles (HistGB),SMOTE,DDoS,0.9999218439928435,8.873318906492716e-05
Árboles (HistGB),SMOTE,DoS GoldenEye,0.9782404429266618,0.009161847677593472
Árboles (HistGB),SMOTE,DoS Hulk,0.9982717298064767,0.00024290941957641048
Árboles (HistGB),SMOTE,DoS Slowhttptest,0.9562082022733558,0.011528326371117725
Árboles (HistGB),SMOTE,DoS slowloris,0.9658116961424634,0.014920380802493905
Árboles (HistGB),SMOTE,FTP-Patator,0.9949925508516836,0.005575416707911408
Árboles (HistGB),SMOTE,PortScan,0.9890722504294936,0.0008615421953170491
Árboles (HistGB),SMOTE,SSH-Patator,0.9965227636008137,0.0036958393675446243
Árboles (HistGB),SMOTE,Web Attack,0.8853968227831464,0.05321548586430543
Árboles (HistGB),Submuestreo + SMOTE,BENIGN,0.9999211695813852,3.693520185480169e-05
Árboles (HistGB),Submuestreo + SMOTE,Bot,0.5119682594127429,0.06472871981072564
Árboles (HistGB),Submuestreo + SMOTE,DDoS,0.9970923224274222,0.004358846782155827
Árboles (HistGB),Submuestreo + SMOTE,DoS GoldenEye,0.9388782294518894,0.11643932822669971
Árboles (HistGB),Submuestreo + SMOTE,DoS Hulk,0.9949362031427966,0.0027257393411814156
