modelo,tecnica,clase,media,desv
Regresión logística,Sin corrección,BENIGN,0.9822368353496411,0.00038636424475556807
Regresión logística,Sin corrección,Bot,0.01475595679775744,0.009506583287512476
Regresión logística,Sin corrección,DDoS,0.9808809549925875,0.0009390073968146396
Regresión logística,Sin corrección,DoS GoldenEye,0.8009458316559993,0.013857434319471534
Regresión logística,Sin corrección,DoS Hulk,0.9429840070432689,0.0010285278754571996
Regresión logística,Sin corrección,DoS Slowhttptest,0.7960316235358681,0.006862495816825533
Regresión logística,Sin corrección,DoS slowloris,0.8853281270631731,0.012117635823633201
Regresión logística,Sin corrección,FTP-Patator,0.9867228661749209,0.0019142151869952786
Regresión logística,Sin corrección,PortScan,0.992805457928468,0.0007713974402291351
Regresión logística,Sin corrección,SSH-Patator,0.20776699029126214,0.128815598373763
Regresión logística,Sin corrección,Web Attack,0.003498542274052478,0.0038012842012843436
Regresión logística,Pesos de clase,BENIGN,0.8420942795721811,0.0017701656691749923
Regresión logística,Pesos de clase,Bot,0.9929384120702449,0.0026877940493926864
Regresión logística,Pesos de clase,DDoS,0.9988087200980417,0.0002981894003661944
Regresión logística,Pesos de clase,DoS GoldenEye,0.9925875014311197,0.003196907095667548
Regresión logística,Pesos de clase,DoS Hulk,0.997750894882485,0.00045190049339857897
Regresión logística,Pesos de clase,DoS Slowhttptest,0.9849365185528173,0.0046715921798226616
Regresión logística,Pesos de clase,DoS slowloris,0.9784098779005689,0.005849929553163364
Regresión logística,Pesos de clase,FTP-Patator,0.9968387776606955,0.0022353217529606597
Regresión logística,Pesos de clase,PortScan,0.9977258631383089,0.0005534552547794397
Regresión logística,Pesos de clase,SSH-Patator,0.9821359223300972,0.005388130844858883
Regresión logística,Pesos de clase,Web Attack,0.9545189504373178,0.007317726179598337
Regresión logística,SMOTE,BENIGN,0.979540000116016,0.0005099042432289896
Regresión logística,SMOTE,Bot,0.34978976007914914,0.016663294738181688
Regresión logística,SMOTE,DDoS,0.9851773803834545,0.0016442589461470234
Regresión logística,SMOTE,DoS GoldenEye,0.8648687617028663,0.00557664719188283
Regresión logística,SMOTE,DoS Hulk,0.9442134215296987,0.0010206706347049331
Regresión logística,SMOTE,DoS Slowhttptest,0.9598300492188437,0.007084271270120643
Regresión logística,SMOTE,DoS slowloris,0.9076118795659285,0.00869469107619782
Regresión logística,SMOTE,FTP-Patator,0.9871443624868282,0.0018849888113802436
Regresión logística,SMOTE,PortScan,0.9919371511267314,0.0006769651541722806
Regresión logística,SMOTE,SSH-Patator,0.916116504854369,0.012157262790290148
Regresión logística,SMOTE,Web Attack,0.8868804664723033,0.015618769954494294
Regresión logística,Submuestreo + SMOTE,BENIGN,0.9228419137084918,0.0009410084945147759
