feature,coef_media,coef_desv
Fwd IAT Mean,-11.969276,0.8522787
Fwd IAT Min,11.468898,0.7565339
Packet Length Variance,11.264547,0.42442805
Flow IAT Max,-9.329026,0.83073866
Init_Win_bytes_forward_no_aplica,-8.650643,0.088244036
Fwd IAT Std,8.549956,0.5426693
Fwd Packet Length Max,-6.6387663,0.29592904
Flow Duration,5.1482787,0.4024312
Flow IAT Std,5.0078697,0.5687401
Active Max,-4.981311,0.32523018
Bwd IAT Total,-4.8834634,0.36550096
Active Mean,3.4732037,0.28335038
Bwd Packet Length Mean,-2.4211457,0.12693873
ACK Flag Count,-1.6781397,0.054787345
Bwd IAT Std,1.5815688,0.09244107
Active Std,1.4187123,0.17790085
Flow IAT Min,1.3541399,0.19576661
Max Packet Length,-1.3489803,0.105675496
Flow IAT Mean,-1.3243816,0.20210676
Flow Packets/s,-1.3062109,0.06587155
Init_Win_bytes_backward,-0.97992295,0.0057020043
URG Flag Count,-0.9390653,0.00769387
PSH Flag Count,-0.70773226,0.047152516
Destination Port,-0.6458274,0.004549688
Bwd IAT Max,0.61684763,0.15170537
Bwd IAT Min,0.51394236,0.07046585
Bwd Packets/s,0.4711843,0.02333579
Fwd Packet Length Min,0.46495977,0.08445573
Active Min,-0.44798785,0.26080945
Total Fwd Packets,-0.42538047,0.4591565
FIN Flag Count,-0.42524743,0.019266484
Init_Win_bytes_backward_no_aplica,0.4141437,0.011510696
Down/Up Ratio,0.32891455,0.008070294
RST Flag Count,-0.31612578,0.016329585
Bwd Packet Length Min,-0.29836667,0.15879829
Total Length of Fwd Packets,0.26619586,0.36072025
SYN Flag Count,-0.25785416,0.017336803
Packet Length Mean,-0.19682176,0.21993242
Min Packet Length,0.18967003,0.018667143
Flow Bytes/s,-0.16317639,0.04315712
Idle Std,0.13864174,0.016247632
Init_Win_bytes_forward,-0.07133718,0.0040235915
Fwd Packet Length Mean,0.062024355,0.33702084
Fwd URG Flags,-0.061250795,0.006985243
Bwd IAT Mean,0.049968347,0.10883889
min_seg_size_forward,0.04893609,0.006076479
Fwd Header Length,0.008175539,0.002679635
Bwd Header Length,0.007120376,0.01005706
