feature,importancia_media,importancia_desv
Flow Duration,0.0861710546732066,0.00024767801991646717
Destination Port,0.07162154898359643,0.0005783549664782534
Bwd Packet Length Min,0.046284943727459574,0.00027138692979044264
Bwd Packet Length Mean,0.0290790499627541,0.00020515731449289733
Fwd Packet Length Max,0.02446903981485917,0.00022416207642416043
Bwd Header Length,0.0236052292599223,0.00020412323706210927
Flow Bytes/s,0.021166813306766463,0.00014055158111553827
Init_Win_bytes_forward_no_aplica,0.019614431455358683,0.00017421328820332055
Init_Win_bytes_forward,0.010990786724140755,0.00015176395172628645
Fwd IAT Min,0.010438904550144002,7.616339994481663e-05
Init_Win_bytes_backward,0.004618712314703099,9.181515272306542e-05
Packet Length Variance,0.003750114366689039,7.959920129164075e-05
Min Packet Length,0.003532818922166836,7.97105716070905e-05
PSH Flag Count,0.0023642904026625724,9.761177809971264e-05
Fwd Header Length,0.002105821310982292,0.00014887083951706841
Flow IAT Std,0.001960991517231214,4.869689439526732e-05
Bwd Packets/s,0.0016271410044244705,5.297273456902663e-05
min_seg_size_forward,0.0009970333280043154,6.20678676514285e-05
Flow IAT Min,0.0005827356035153386,5.738919356053619e-05
Flow Packets/s,0.000418010399698443,2.3613279914993845e-05
Total Fwd Packets,0.00039388576571817155,5.298223553859626e-05
Total Length of Fwd Packets,0.00032670697499228576,3.5724300650962214e-05
Bwd IAT Total,0.00027953254161094954,3.759921971350345e-05
Flow IAT Max,0.0001245780685718234,5.723042402077901e-06
Fwd IAT Mean,4.938639181286675e-05,2.279488258292673e-05
Max Packet Length,3.412725846037023e-05,6.859735406603615e-06
Packet Length Mean,3.286027228652788e-05,2.7929972812756626e-05
FIN Flag Count,2.3618043801243438e-05,5.226973179551215e-06
URG Flag Count,1.5215083599162682e-05,6.004700448305335e-06
Bwd IAT Max,8.236456464949527e-06,8.000165224626786e-06
Active Mean,8.221235181049558e-06,8.788809239569126e-06
Fwd Packet Length Mean,2.34896077184743e-06,2.876877658420169e-06
Active Min,1.332092615680125e-06,2.5068605572397293e-05
Init_Win_bytes_backward_no_aplica,0.0,0.0
Fwd URG Flags,0.0,0.0
Idle Std,0.0,0.0
RST Flag Count,0.0,0.0
SYN Flag Count,0.0,0.0
ACK Flag Count,-1.0993187989027931e-06,5.777066404555018e-06
Bwd IAT Min,-3.433403196018148e-06,5.997879017976417e-06
Fwd Packet Length Min,-3.523514030545627e-06,4.698026298521706e-06
Bwd IAT Mean,-7.002000667188923e-06,5.778505727557742e-06
Active Max,-8.206542057531686e-06,6.002166582519818e-06
Active Std,-9.396079925494404e-06,5.988880625469542e-06
Fwd IAT Std,-1.2874876066804042e-05,1.1986230334266683e-05
Bwd IAT Std,-1.5261363081675584e-05,1.2659316292920268e-05
Down/Up Ratio,-1.988499498271068e-05,1.919475308697463e-05
Flow IAT Mean,-6.328218158913046e-05,2.6373430664213895e-05
