modelo,umbral_pct,clase,n,recall
iforest,0.5,Bot,1558,0.0
iforest,0.5,DDoS,102411,0.0018259757252638877
iforest,0.5,DoS GoldenEye,8229,0.0020658646251063314
iforest,0.5,DoS Hulk,138277,0.007983974196721075
iforest,0.5,DoS Slowhttptest,4182,0.06599713055954089
iforest,0.5,DoS slowloris,4308,0.5037140204271123
iforest,0.5,FTP-Patator,4745,0.0
iforest,0.5,Heartbleed,9,0.7777777777777778
iforest,0.5,Infiltration,29,0.20689655172413793
iforest,0.5,PortScan,72555,0.0001791744194059679
iforest,0.5,SSH-Patator,2575,0.0
iforest,0.5,Web Attack - Brute Force,1176,0.0
iforest,0.5,Web Attack - Sql Injection,17,0.0
iforest,0.5,Web Attack - XSS,522,0.0
iforest,0.5,TODOS LOS ATAQUES,340593,0.011098290334798425
iforest,1.0,Bot,1558,0.0
iforest,1.0,DDoS,102411,0.03438107234574411
iforest,1.0,DoS GoldenEye,8229,0.004496293595819662
iforest,1.0,DoS Hulk,138277,0.24401021138728785
iforest,1.0,DoS Slowhttptest,4182,0.1401243424198948
iforest,1.0,DoS slowloris,4308,0.5201949860724234
iforest,1.0,FTP-Patator,4745,0.0
iforest,1.0,Heartbleed,9,0.8888888888888888
iforest,1.0,Infiltration,29,0.4827586206896552
iforest,1.0,PortScan,72555,0.00039969678175177454
iforest,1.0,SSH-Patator,2575,0.0
iforest,1.0,Web Attack - Brute Force,1176,0.0
iforest,1.0,Web Attack - Sql Injection,17,0.0
iforest,1.0,Web Attack - XSS,522,0.0
iforest,1.0,TODOS LOS ATAQUES,340593,0.1179619076140731
iforest,2.0,Bot,1558,0.0
iforest,2.0,DDoS,102411,0.06248352227788031
iforest,2.0,DoS GoldenEye,8229,0.008749544294567991
iforest,2.0,DoS Hulk,138277,0.2700883010189692
iforest,2.0,DoS Slowhttptest,4182,0.7678144428503109
iforest,2.0,DoS slowloris,4308,0.5487465181058496
iforest,2.0,FTP-Patator,4745,0.0
iforest,2.0,Heartbleed,9,1.0
iforest,2.0,Infiltration,29,0.7931034482758621
iforest,2.0,PortScan,72555,0.0007718282682103232
iforest,2.0,SSH-Patator,2575,0.0
iforest,2.0,Web Attack - Brute Force,1176,0.0
iforest,2.0,Web Attack - Sql Injection,17,0.0
iforest,2.0,Web Attack - XSS,522,0.0
iforest,2.0,TODOS LOS ATAQUES,340593,0.1452789693270267
lof,0.5,Bot,1558,0.0006418485237483953
lof,0.5,DDoS,102411,0.00024411440177324702
lof,0.5,DoS GoldenEye,8229,0.12759752096244986
lof,0.5,DoS Hulk,138277,0.0007448816505998829
lof,0.5,DoS Slowhttptest,4182,0.008847441415590627
lof,0.5,DoS slowloris,4308,0.0
lof,0.5,FTP-Patator,4745,0.0
lof,0.5,Heartbleed,9,0.0
lof,0.5,Infiltration,29,0.0
lof,0.5,PortScan,72555,0.012804079663703397
lof,0.5,SSH-Patator,2575,0.0
lof,0.5,Web Attack - Brute Force,1176,0.0
lof,0.5,Web Attack - Sql Injection,17,0.0
lof,0.5,Web Attack - XSS,522,0.0
lof,0.5,TODOS LOS ATAQUES,340593,0.006297839356651487
lof,1.0,Bot,1558,0.0006418485237483953
lof,1.0,DDoS,102411,0.00024411440177324702
lof,1.0,DoS GoldenEye,8229,0.13391663628630454
lof,1.0,DoS Hulk,138277,0.001800733310673503
lof,1.0,DoS Slowhttptest,4182,0.008847441415590627
lof,1.0,DoS slowloris,4308,0.00023212627669452182
lof,1.0,FTP-Patator,4745,0.0
lof,1.0,Heartbleed,9,0.0
lof,1.0,Infiltration,29,0.0
lof,1.0,PortScan,72555,0.11183240300461719
lof,1.0,SSH-Patator,2575,0.9064077669902912
lof,1.0,Web Attack - Brute Force,1176,0.007653061224489796
lof,1.0,Web Attack - Sql Injection,17,0.0
lof,1.0,Web Attack - XSS,522,0.0
lof,1.0,TODOS LOS ATAQUES,340593,0.03485685260707061
lof,2.0,Bot,1558,0.0006418485237483953
lof,2.0,DDoS,102411,0.19082911015418266
lof,2.0,DoS GoldenEye,8229,0.1833758658403208
lof,2.0,DoS Hulk,138277,0.022086102533320797
lof,2.0,DoS Slowhttptest,4182,0.06384505021520803
lof,2.0,DoS slowloris,4308,0.0044103992571959145
lof,2.0,FTP-Patator,4745,0.0
lof,2.0,Heartbleed,9,0.0
lof,2.0,Infiltration,29,0.1724137931034483
lof,2.0,PortScan,72555,0.5476810695334574
lof,2.0,SSH-Patator,2575,0.9374757281553399
lof,2.0,Web Attack - Brute Force,1176,0.012755102040816327
lof,2.0,Web Attack - Sql Injection,17,0.0
lof,2.0,Web Attack - XSS,522,0.0
lof,2.0,TODOS LOS ATAQUES,340593,0.19543560789564085
