score_iforest,clase
-0.3912916,BENIGN
-0.3460111,BENIGN
-0.3761197,BENIGN
-0.34467942,BENIGN
-0.3820465,BENIGN
-0.33940008,BENIGN
-0.38707244,BENIGN
-0.3448251,BENIGN
-0.34626514,BENIGN
-0.3429067,BENIGN
-0.41016755,BENIGN
-0.38279688,BENIGN
-0.34000903,BENIGN
-0.35427895,BENIGN
-0.35781574,BENIGN
-0.34570646,BENIGN
-0.33954835,BENIGN
-0.41985554,BENIGN
-0.3557136,BENIGN
-0.34820607,BENIGN
-0.33592132,BENIGN
-0.3887932,BENIGN
-0.33587506,BENIGN
-0.39232165,BENIGN
-0.4573312,BENIGN
-0.47716135,BENIGN
-0.33372313,BENIGN
-0.34030756,BENIGN
-0.4077457,BENIGN
-0.5560692,BENIGN
-0.5600896,BENIGN
-0.33509928,BENIGN
-0.3907556,BENIGN
-0.34852153,BENIGN
-0.34176025,BENIGN
-0.5197996,BENIGN
-0.44728923,BENIGN
-0.52795863,BENIGN
-0.38372046,BENIGN
-0.3981047,BENIGN
-0.36921355,BENIGN
-0.37477583,BENIGN
-0.34931478,BENIGN
-0.65477693,BENIGN
-0.37089318,BENIGN
-0.3708282,BENIGN
-0.51706225,BENIGN
-0.3989334,BENIGN
-0.623236,BENIGN
-0.34351638,BENIGN
-0.36522704,BENIGN
-0.431902,BENIGN
-0.35155004,BENIGN
-0.35725763,BENIGN
-0.4833137,BENIGN
-0.3328829,BENIGN
-0.39108837,BENIGN
-0.3891294,BENIGN
-0.37934044,BENIGN
-0.34392026,BENIGN
-0.3458654,BENIGN
-0.39515948,BENIGN
-0.59142065,BENIGN
-0.33541203,BENIGN
-0.34131205,BENIGN
-0.37556544,BENIGN
-0.41444653,BENIGN
-0.35627452,BENIGN
-0.35753423,BENIGN
-0.38581222,BENIGN
-0.39180964,BENIGN
-0.34271356,BENIGN
-0.36813155,BENIGN
-0.35834917,BENIGN
-0.4508031,BENIGN
-0.4620973,BENIGN
-0.33562502,BENIGN
-0.35453296,BENIGN
-0.5116862,BENIGN
-0.62478274,BENIGN
-0.34587175,BENIGN
-0.33793715,BENIGN
-0.382918,BENIGN
-0.4319229,BENIGN
-0.3646422,BENIGN
-0.689165,BENIGN
-0.35116753,BENIGN
-0.34751937,BENIGN
-0.36676815,BENIGN
-0.39102465,BENIGN
-0.3506248,BENIGN
-0.39194018,BENIGN
-0.3353227,BENIGN
-0.3459964,BENIGN
-0.3746816,BENIGN
-0.4579034,BENIGN
-0.38787127,BENIGN
-0.39708006,BENIGN
-0.46149084,BENIGN
-0.39829984,BENIGN
-0.37614557,BENIGN
-0.36780477,BENIGN
-0.39242163,BENIGN
-0.3928651,BENIGN
-0.5456415,BENIGN
-0.5650329,BENIGN
-0.39850253,BENIGN
-0.33278683,BENIGN
-0.36318427,BENIGN
-0.46537578,BENIGN
-0.34735447,BENIGN
-0.333407,BENIGN
-0.37976962,BENIGN
-0.3939316,BENIGN
-0.33316717,BENIGN
-0.34514487,BENIGN
-0.39950824,BENIGN
-0.69769657,BENIGN
-0.41241768,BENIGN
-0.42845693,BENIGN
-0.3804981,BENIGN
-0.39298177,BENIGN
-0.35778156,BENIGN
-0.37254277,BENIGN
-0.35053283,BENIGN
-0.4616571,BENIGN
-0.39081123,BENIGN
-0.3893279,BENIGN
-0.33199248,BENIGN
-0.34151396,BENIGN
-0.41957188,BENIGN
-0.4013751,BENIGN
-0.336223,BENIGN
-0.3528803,BENIGN
-0.4777349,BENIGN
-0.3635221,BENIGN
-0.3405815,BENIGN
-0.34204933,BENIGN
-0.38796595,BENIGN
-0.37208202,BENIGN
-0.39125946,BENIGN
-0.42708632,BENIGN
-0.35024026,BENIGN
-0.428088,BENIGN
-0.3367747,BENIGN
-0.36871552,BENIGN
-0.3799172,BENIGN
-0.36828405,BENIGN
-0.4330024,BENIGN
-0.3636279,BENIGN
-0.34682906,BENIGN
-0.3939573,BENIGN
-0.3314703,BENIGN
-0.41902044,BENIGN
-0.3454824,BENIGN
-0.37916207,BENIGN
-0.33578914,BENIGN
-0.36420727,BENIGN
-0.34795383,BENIGN
-0.5517039,BENIGN
-0.3934939,BENIGN
-0.43813202,BENIGN
-0.34057042,BENIGN
-0.3672399,BENIGN
-0.3649998,BENIGN
-0.35373136,BENIGN
-0.40481234,BENIGN
-0.3344953,BENIGN
-0.5285274,BENIGN
-0.36513153,BENIGN
-0.4410567,BENIGN
-0.5308272,BENIGN
-0.35459024,BENIGN
-0.52754015,BENIGN
-0.34013584,BENIGN
-0.71609354,BENIGN
-0.39045948,BENIGN
-0.53278875,BENIGN
-0.3639676,BENIGN
-0.60682887,BENIGN
-0.39667928,BENIGN
-0.38489228,BENIGN
-0.37254277,BENIGN
-0.34801662,BENIGN
-0.3341202,BENIGN
-0.34202492,BENIGN
-0.36984575,BENIGN
-0.36689225,BENIGN
-0.39662647,BENIGN
-0.3321848,BENIGN
-0.3439445,BENIGN
-0.5147719,BENIGN
-0.367934,BENIGN
-0.39511406,BENIGN
-0.34343326,BENIGN
-0.38820744,BENIGN
-0.37227,BENIGN
-0.35294056,BENIGN
-0.33576444,BENIGN
-0.35543582,BENIGN
-0.3392862,BENIGN
-0.33492288,BENIGN
-0.40145013,BENIGN
-0.38424978,BENIGN
-0.33670592,BENIGN
-0.3366708,BENIGN
-0.42704046,BENIGN
-0.36778453,BENIGN
-0.34130433,BENIGN
-0.35829005,BENIGN
-0.33541912,BENIGN
-0.39717582,BENIGN
-0.35045025,BENIGN
-0.47827172,BENIGN
-0.36763594,BENIGN
-0.33129758,BENIGN
-0.3881319,BENIGN
-0.35037878,BENIGN
-0.51045984,BENIGN
-0.34346703,BENIGN
-0.38730577,BENIGN
-0.33875376,BENIGN
-0.35366234,BENIGN
-0.39631972,BENIGN
-0.34431523,BENIGN
-0.36998448,BENIGN
-0.532517,BENIGN
-0.35748795,BENIGN
-0.38786787,BENIGN
-0.3732982,BENIGN
-0.33455393,BENIGN
-0.38020954,BENIGN
-0.39256698,BENIGN
-0.37404907,BENIGN
-0.3907459,BENIGN
-0.37516376,BENIGN
-0.40436321,BENIGN
-0.38263503,BENIGN
-0.64674497,BENIGN
-0.36574402,BENIGN
-0.42903468,BENIGN
-0.40078545,BENIGN
-0.33529332,BENIGN
-0.35207966,BENIGN
-0.34114262,BENIGN
-0.4561415,BENIGN
-0.3700906,BENIGN
-0.33342963,BENIGN
-0.45979524,BENIGN
-0.4789842,BENIGN
-0.48244137,BENIGN
-0.39219123,BENIGN
-0.36163124,BENIGN
-0.37859425,BENIGN
-0.36889607,BENIGN
-0.34216905,BENIGN
-0.3377278,BENIGN
-0.3953654,BENIGN
-0.33479014,BENIGN
-0.39206177,BENIGN
-0.37017792,BENIGN
-0.4101323,BENIGN
-0.34436148,BENIGN
-0.55463314,BENIGN
-0.36542046,BENIGN
-0.3884507,BENIGN
-0.34749407,BENIGN
-0.43381035,BENIGN
-0.44737914,BENIGN
-0.4555743,BENIGN
-0.39530227,BENIGN
-0.34786856,BENIGN
-0.3413626,BENIGN
-0.33707568,BENIGN
-0.39492065,BENIGN
-0.47502577,BENIGN
-0.4539333,BENIGN
-0.374074,BENIGN
-0.39019072,BENIGN
-0.4685897,BENIGN
-0.3412759,BENIGN
-0.39167514,BENIGN
-0.54693884,BENIGN
-0.42034426,BENIGN
-0.3773137,BENIGN
-0.34496093,BENIGN
-0.35198575,BENIGN
-0.37623572,BENIGN
-0.44972277,BENIGN
-0.3663397,BENIGN
-0.3789461,BENIGN
-0.5821338,BENIGN
-0.70289814,BENIGN
-0.36826065,BENIGN
-0.3820233,BENIGN
-0.33523622,BENIGN
-0.3784588,BENIGN
-0.47001776,BENIGN
-0.37124398,BENIGN
-0.34046003,BENIGN
-0.39952838,BENIGN
-0.3403573,BENIGN
-0.35528576,BENIGN
-0.41426235,BENIGN
-0.39666343,BENIGN
-0.34844345,BENIGN
-0.34846526,BENIGN
-0.4321142,BENIGN
-0.38851544,BENIGN
-0.4795863,BENIGN
-0.41475996,BENIGN
