umbral_pct,clase,n,recall
0.5,Bot,390,0.0
0.5,DDoS,25603,0.0020310119907823304
0.5,DoS GoldenEye,2057,0.0019445794846864365
0.5,DoS Hulk,34569,0.007781538372530302
0.5,DoS Slowhttptest,1046,0.07648183556405354
0.5,DoS slowloris,1077,0.4948932219127205
0.5,FTP-Patator,1186,0.0
0.5,Heartbleed,2,0.5
0.5,Infiltration,7,0.2857142857142857
0.5,PortScan,18139,0.00044103864601135676
0.5,SSH-Patator,644,0.0
0.5,Web Attack - Brute Force,294,0.0
0.5,Web Attack - Sql Injection,4,0.0
0.5,Web Attack - XSS,130,0.0
0.5,TODOS LOS ATAQUES,85148,0.011145299948325268
1.0,Bot,390,0.0
1.0,DDoS,25603,0.03401945084560403
1.0,DoS GoldenEye,2057,0.002916869227029655
1.0,DoS Hulk,34569,0.24420723769851602
1.0,DoS Slowhttptest,1046,0.16347992351816443
1.0,DoS slowloris,1077,0.5171773444753947
1.0,FTP-Patator,1186,0.0
1.0,Heartbleed,2,0.5
1.0,Infiltration,7,0.5714285714285714
1.0,PortScan,18139,0.0005512983075141959
1.0,SSH-Patator,644,0.0
1.0,Web Attack - Brute Force,294,0.0
1.0,Web Attack - Sql Injection,4,0.0
1.0,Web Attack - XSS,130,0.0
1.0,TODOS LOS ATAQUES,85148,0.11817071452059942
2.0,Bot,390,0.0
2.0,DDoS,25603,0.06096941764636957
2.0,DoS GoldenEye,2057,0.004861448711716091
2.0,DoS Hulk,34569,0.2688246695015766
2.0,DoS Slowhttptest,1046,0.7648183556405354
2.0,DoS slowloris,1077,0.5571030640668524
2.0,FTP-Patator,1186,0.0
2.0,Heartbleed,2,1.0
2.0,Infiltration,7,0.7142857142857143
2.0,PortScan,18139,0.0007718176305198743
2.0,SSH-Patator,644,0.0
2.0,Web Attack - Brute Force,294,0.0
2.0,Web Attack - Sql Injection,4,0.0
2.0,Web Attack - XSS,130,0.0
2.0,TODOS LOS ATAQUES,85148,0.14427819796119698
